"","Disease","Date","State","Cases","Rates"
"167","COVID-19",2018-12-31,"Victoria",0,0
"168","COVID-19",2018-11-30,"Victoria",0,0
"169","COVID-19",2020-10-31,"Western Australia",77,2.9
"170","COVID-19",2020-09-30,"Western Australia",31,1.2
"171","COVID-19",2020-08-31,"Western Australia",11,0.4
"172","COVID-19",2020-07-31,"Western Australia",42,1.6
"173","COVID-19",2020-06-30,"Western Australia",15,0.6
"174","COVID-19",2020-05-31,"Western Australia",34,1.3
"175","COVID-19",2020-04-30,"Western Australia",104,4
"176","COVID-19",2020-03-31,"Western Australia",473,18
"177","COVID-19",2020-02-29,"Western Australia",8,0.3
"178","COVID-19",2020-01-31,"Western Australia",1,0
"179","COVID-19",2019-12-31,"Western Australia",0,0
"180","COVID-19",2019-11-30,"Western Australia",0,0
"181","COVID-19",2019-10-31,"Western Australia",0,0
"182","COVID-19",2019-09-30,"Western Australia",0,0
"183","COVID-19",2019-08-31,"Western Australia",0,0
"184","COVID-19",2019-07-31,"Western Australia",0,0
"185","COVID-19",2019-06-30,"Western Australia",0,0
"186","COVID-19",2019-05-31,"Western Australia",0,0
"187","COVID-19",2019-04-30,"Western Australia",0,0
"188","COVID-19",2019-03-31,"Western Australia",0,0
"189","COVID-19",2019-02-28,"Western Australia",0,0
"190","COVID-19",2019-01-31,"Western Australia",0,0
"191","COVID-19",2018-12-31,"Western Australia",0,0
"192","COVID-19",2018-11-30,"Western Australia",0,0
"193","COVID-19",2020-10-31,"Australia",480,1.9
"194","COVID-19",2020-09-30,"Australia",1128,4.4
"195","COVID-19",2020-08-31,"Australia",7292,28.8
"196","COVID-19",2020-07-31,"Australia",10195,40.2
"197","COVID-19",2020-06-30,"Australia",1095,4.3
"198","COVID-19",2020-05-31,"Australia",368,1.5
"199","COVID-19",2020-04-30,"Australia",974,3.8
"200","COVID-19",2020-03-31,"Australia",6048,23.9
"201","COVID-19",2020-02-29,"Australia",96,0.4
"202","COVID-19",2020-01-31,"Australia",13,0.1
"203","COVID-19",2019-12-31,"Australia",0,0
"204","COVID-19",2019-11-30,"Australia",0,0
"205","COVID-19",2019-10-31,"Australia",0,0
"206","COVID-19",2019-09-30,"Australia",0,0
"207","COVID-19",2019-08-31,"Australia",0,0
"208","COVID-19",2019-07-31,"Australia",0,0
"209","COVID-19",2019-06-30,"Australia",0,0
"210","COVID-19",2019-05-31,"Australia",0,0
"211","COVID-19",2019-04-30,"Australia",0,0
"212","COVID-19",2019-03-31,"Australia",0,0
"213","COVID-19",2019-02-28,"Australia",0,0
"214","COVID-19",2019-01-31,"Australia",0,0
"215","COVID-19",2018-12-31,"Australia",0,0
"216","COVID-19",2018-11-30,"Australia",0,0
